year,x
1978,359.86
1979,408.66
1980,490.44
1981,511.43
1982,534.82
1983,574.06
1984,666.75
1985,923.32
1986,1067.38
1987,1147.6
1988,1455.55
1989,1520.41
1990,1646.05
1991,1860.17
1992,2134.83
1993,2939.6
1994,4134.04
1995,5019.77
1996,5729.52
1997,6531.81
1998,6970.83
1999,7498.48
2000,8493.49
2001,8922.72
2002,10284.6
2003,11123.84
2004,12200.4
2005,13244.2
2006,14825.41
2007,15330.44
2008,16460.26
