year,x
1989,117.2
1990,105.4
1991,111.9
1992,109.9
1993,119
1994,124.9
1995,117.3
1996,111.6
1997,105.3
1998,102.4
1999,100.6
2000,103.5
2001,103.1
2002,98.2
2003,100.2
2004,101
2005,101.5
2006,100.9
2007,102.4
2008,105.1
2009,98.5
2010,102.4
2011,105.6
2012,103.3
2013,103.3
2014,101.6
2015,101.8
2016,101.4
2017,101.9
2018,102.5
